,mapping,trans_mapping,hs,hk,smap,smap_inf
216,[0 1 3 9],"['AAPL.csv', 'ADBE.csv', 'GOOG.csv', 'TSLA.csv']",2.633995,2.565765,0.659091,3.605707
217,[3 5 6 8],"['GOOG.csv', 'IDXX.csv', 'MSFT.csv', 'NVDA.csv']",2.669875,2.597392,0.622398,3.641587
218,[0 3 5 6],"['AAPL.csv', 'GOOG.csv', 'IDXX.csv', 'MSFT.csv']",2.644499,2.544880,0.624647,3.616210
219,[0 1 7 8],"['AAPL.csv', 'ADBE.csv', 'NFLX.csv', 'NVDA.csv']",2.645054,2.498358,0.661327,3.616766
220,[0 5 7 8],"['AAPL.csv', 'IDXX.csv', 'NFLX.csv', 'NVDA.csv']",2.688138,2.670935,0.689002,3.659849
221,[1 2 5 8],"['ADBE.csv', 'ADI.csv', 'IDXX.csv', 'NVDA.csv']",2.646551,2.569816,0.650092,3.618262
222,[2 4 8 9],"['ADI.csv', 'GOOGL.csv', 'NVDA.csv', 'TSLA.csv']",2.676062,2.560933,0.683417,3.647774
223,[1 3 5 7],"['ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'NFLX.csv']",2.614241,2.559412,0.656202,3.585952
224,[0 3 7 8],"['AAPL.csv', 'GOOG.csv', 'NFLX.csv', 'NVDA.csv']",2.640952,2.631868,0.652110,3.612664
225,[1 3 5 6],"['ADBE.csv', 'GOOG.csv', 'IDXX.csv', 'MSFT.csv']",2.599072,2.579531,0.627867,3.570784
226,[2 5 7 9],"['ADI.csv', 'IDXX.csv', 'NFLX.csv', 'TSLA.csv']",2.724160,2.647982,0.716453,3.695871
227,[3 6 7 9],"['GOOG.csv', 'MSFT.csv', 'NFLX.csv', 'TSLA.csv']",2.683555,2.670510,0.674458,3.655267
228,[0 6 7 8],"['AAPL.csv', 'MSFT.csv', 'NFLX.csv', 'NVDA.csv']",2.683395,2.554667,0.644007,3.655107
229,[2 3 6 8],"['ADI.csv', 'GOOG.csv', 'MSFT.csv', 'NVDA.csv']",2.645087,2.548364,0.592734,3.616799
230,[1 2 6 8],"['ADBE.csv', 'ADI.csv', 'MSFT.csv', 'NVDA.csv']",2.627028,2.588046,0.613320,3.598739
231,[1 4 6 8],"['ADBE.csv', 'GOOGL.csv', 'MSFT.csv', 'NVDA.csv']",2.605652,2.515000,0.586187,3.577364
232,[1 2 4 6],"['ADBE.csv', 'ADI.csv', 'GOOGL.csv', 'MSFT.csv']",2.607125,2.494975,0.622298,3.578837
