N	mapping	trans_mapping	hs	hk	smap	smap_inf
3	[2 3 8]	['ADI.csv', 'CSCO.csv', 'NFLX.csv']	2.090349	2.082554	0.578944	5.568059
3	[2 3 9]	['ADI.csv', 'CSCO.csv', 'NTES.csv']	2.110830	2.102730	0.590250	5.588541
3	[ 2  3 10]	['ADI.csv', 'CSCO.csv', 'NVDA.csv']	2.064825	2.053210	0.569260	5.542535
3	[ 2  3 11]	['ADI.csv', 'CSCO.csv', 'TSLA.csv']	2.108905	2.102675	0.587784	5.586616
3	[2 4 5]	['ADI.csv', 'GOOG.csv', 'GOOGL.csv']	1.609158	1.606665	0.591742	5.086868
3	[2 4 6]	['ADI.csv', 'GOOG.csv', 'IDXX.csv']	2.045603	2.039995	0.576809	5.523313
3	[2 4 7]	['ADI.csv', 'GOOG.csv', 'MSFT.csv']	2.036303	2.028827	0.560410	5.514014
3	[2 4 8]	['ADI.csv', 'GOOG.csv', 'NFLX.csv']	2.036434	1.916185	0.573527	5.514145
3	[2 4 9]	['ADI.csv', 'GOOG.csv', 'NTES.csv']	2.067577	2.063839	0.591458	5.545287
3	[ 2  4 10]	['ADI.csv', 'GOOG.csv', 'NVDA.csv']	2.021110	2.015185	0.563690	5.498820
3	[ 2  4 11]	['ADI.csv', 'GOOG.csv', 'TSLA.csv']	2.062525	2.058908	0.586986	5.540236
3	[2 5 6]	['ADI.csv', 'GOOGL.csv', 'IDXX.csv']	2.047233	2.042249	0.575296	5.524944
3	[2 5 7]	['ADI.csv', 'GOOGL.csv', 'MSFT.csv']	2.033371	2.022156	0.561054	5.511082
3	[2 5 8]	['ADI.csv', 'GOOGL.csv', 'NFLX.csv']	2.036923	2.034196	0.572158	5.514634
3	[2 5 9]	['ADI.csv', 'GOOGL.csv', 'NTES.csv']	2.068236	2.063373	0.590555	5.545946
3	[ 2  5 10]	['ADI.csv', 'GOOGL.csv', 'NVDA.csv']	2.021719	2.016264	0.564261	5.499429
3	[ 2  5 11]	['ADI.csv', 'GOOGL.csv', 'TSLA.csv']	2.062262	2.057818	0.586661	5.539973
3	[2 6 7]	['ADI.csv', 'IDXX.csv', 'MSFT.csv']	2.074295	2.057959	0.574500	5.552005
3	[2 6 8]	['ADI.csv', 'IDXX.csv', 'NFLX.csv']	2.066114	2.057462	0.589426	5.543825
3	[2 6 9]	['ADI.csv', 'IDXX.csv', 'NTES.csv']	2.086799	2.080486	0.601134	5.564510
3	[ 2  6 10]	['ADI.csv', 'IDXX.csv', 'NVDA.csv']	2.040637	2.030268	0.581401	5.518347
3	[ 2  6 11]	['ADI.csv', 'IDXX.csv', 'TSLA.csv']	2.080211	1.925694	0.598575	5.557922
3	[2 7 8]	['ADI.csv', 'MSFT.csv', 'NFLX.csv']	2.070137	1.955178	0.573888	5.547847
3	[2 7 9]	['ADI.csv', 'MSFT.csv', 'NTES.csv']	2.093362	2.087754	0.590872	5.571072
3	[ 2  7 10]	['ADI.csv', 'MSFT.csv', 'NVDA.csv']	2.044061	2.025150	0.564206	5.521771
3	[ 2  7 11]	['ADI.csv', 'MSFT.csv', 'TSLA.csv']	2.093846	2.086674	0.582564	5.571556
3	[2 8 9]	['ADI.csv', 'NFLX.csv', 'NTES.csv']	2.073520	1.939563	0.602861	5.551230
3	[ 2  8 10]	['ADI.csv', 'NFLX.csv', 'NVDA.csv']	2.033262	2.016926	0.588470	5.510973
3	[ 2  8 11]	['ADI.csv', 'NFLX.csv', 'TSLA.csv']	2.065455	1.923399	0.600272	5.543166
3	[ 2  9 10]	['ADI.csv', 'NTES.csv', 'NVDA.csv']	2.052802	2.040340	0.598300	5.530512
3	[ 2  9 11]	['ADI.csv', 'NTES.csv', 'TSLA.csv']	2.084783	1.941011	0.611869	5.562494
3	[ 2 10 11]	['ADI.csv', 'NVDA.csv', 'TSLA.csv']	2.047911	2.031712	0.592155	5.525622
3	[3 4 5]	['CSCO.csv', 'GOOG.csv', 'GOOGL.csv']	1.622711	1.603784	0.591050	5.100421
3	[3 4 6]	['CSCO.csv', 'GOOG.csv', 'IDXX.csv']	2.065895	2.059970	0.575207	5.543605
3	[3 4 7]	['CSCO.csv', 'GOOG.csv', 'MSFT.csv']	2.052607	2.034208	0.562259	5.530317
3	[3 4 8]	['CSCO.csv', 'GOOG.csv', 'NFLX.csv']	2.060413	1.925833	0.568476	5.538123
3	[3 4 9]	['CSCO.csv', 'GOOG.csv', 'NTES.csv']	2.090109	2.079975	0.582026	5.567819
3	[ 3  4 10]	['CSCO.csv', 'GOOG.csv', 'NVDA.csv']	2.073737	1.816415	0.555900	5.551447
3	[ 3  4 11]	['CSCO.csv', 'GOOG.csv', 'TSLA.csv']	2.084307	2.076830	0.583676	5.562017
3	[3 5 6]	['CSCO.csv', 'GOOGL.csv', 'IDXX.csv']	2.067544	2.061314	0.576129	5.545254
3	[3 5 7]	['CSCO.csv', 'GOOGL.csv', 'MSFT.csv']	2.049870	2.041535	0.565027	5.527580
3	[3 5 8]	['CSCO.csv', 'GOOGL.csv', 'NFLX.csv']	2.059986	2.054766	0.569684	5.537696
3	[3 5 9]	['CSCO.csv', 'GOOGL.csv', 'NTES.csv']	2.089957	2.084350	0.584133	5.567668
3	[ 3  5 10]	['CSCO.csv', 'GOOGL.csv', 'NVDA.csv']	2.071777	2.061809	0.558767	5.549488
3	[ 3  5 11]	['CSCO.csv', 'GOOGL.csv', 'TSLA.csv']	2.083747	2.068280	0.585680	5.561458
3	[3 6 7]	['CSCO.csv', 'IDXX.csv', 'MSFT.csv']	2.102797	2.090324	0.573675	5.580507
3	[3 6 8]	['CSCO.csv', 'IDXX.csv', 'NFLX.csv']	2.104633	2.096298	0.583267	5.582343
3	[3 6 9]	['CSCO.csv', 'IDXX.csv', 'NTES.csv']	2.125770	2.121326	0.591177	5.603481
3	[ 3  6 10]	['CSCO.csv', 'IDXX.csv', 'NVDA.csv']	2.103984	2.090030	0.573245	5.581695
3	[ 3  6 11]	['CSCO.csv', 'IDXX.csv', 'TSLA.csv']	2.117344	2.106282	0.594883	5.595054
3	[3 7 8]	['CSCO.csv', 'MSFT.csv', 'NFLX.csv']	2.099591	2.092114	0.571491	5.577301
3	[3 7 9]	['CSCO.csv', 'MSFT.csv', 'NTES.csv']	2.123354	2.099442	0.585276	5.601064
3	[ 3  7 10]	['CSCO.csv', 'MSFT.csv', 'NVDA.csv']	2.096948	2.075434	0.556250	5.574658
3	[ 3  7 11]	['CSCO.csv', 'MSFT.csv', 'TSLA.csv']	2.123265	2.108922	0.581424	5.600975
3	[3 8 9]	['CSCO.csv', 'NFLX.csv', 'NTES.csv']	2.116194	2.110351	0.589503	5.593904
3	[ 3  8 10]	['CSCO.csv', 'NFLX.csv', 'NVDA.csv']	2.099348	2.093423	0.572632	5.577059
3	[ 3  8 11]	['CSCO.csv', 'NFLX.csv', 'TSLA.csv']	2.107195	2.104703	0.592293	5.584906
3	[ 3  9 10]	['CSCO.csv', 'NTES.csv', 'NVDA.csv']	2.122101	1.970616	0.582380	5.599811
3	[ 3  9 11]	['CSCO.csv', 'NTES.csv', 'TSLA.csv']	2.126794	2.123178	0.601021	5.604505
3	[ 3 10 11]	['CSCO.csv', 'NVDA.csv', 'TSLA.csv']	2.114036	2.104690	0.580622	5.591747
3	[4 5 6]	['GOOG.csv', 'GOOGL.csv', 'IDXX.csv']	1.586880	1.586257	0.600411	5.064590
3	[4 5 7]	['GOOG.csv', 'GOOGL.csv', 'MSFT.csv']	1.590259	1.587767	0.587042	5.067970
3	[4 5 8]	['GOOG.csv', 'GOOGL.csv', 'NFLX.csv']	1.574222	1.572741	0.594705	5.051933
3	[4 5 9]	['GOOG.csv', 'GOOGL.csv', 'NTES.csv']	1.602515	1.600646	0.609007	5.080225
3	[ 4  5 10]	['GOOG.csv', 'GOOGL.csv', 'NVDA.csv']	1.601487	1.556425	0.585383	5.079197
